Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Pato Cara Blanca (Dendrocygna viduata),4,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:04 PM,11 minuto(s),0.215 kilómetro(s),,,4,true,10 especies,
Tero (Vanellus chilensis),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:04 PM,11 minuto(s),0.215 kilómetro(s),,,4,true,10 especies,
Batitú (Bartramia longicauda),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:04 PM,11 minuto(s),0.215 kilómetro(s),,,4,true,10 especies,
Cuervillo de Cañada (Plegadis chihi),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:04 PM,11 minuto(s),0.215 kilómetro(s),,,4,true,10 especies,
Bandurria Mora (Theristicus caerulescens),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:04 PM,11 minuto(s),0.215 kilómetro(s),,,4,true,10 especies,
Cotorra (Myiopsitta monachus),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:04 PM,11 minuto(s),0.215 kilómetro(s),,,4,true,10 especies,
Pajonalera Pico Recto (Limnoctites rectirostris),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:04 PM,11 minuto(s),0.215 kilómetro(s),,,4,true,10 especies,
Pico de Plata (Hymenops perspicillatus),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:04 PM,11 minuto(s),0.215 kilómetro(s),,,4,true,10 especies,
Benteveo (Pitangus sulphuratus),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:04 PM,11 minuto(s),0.215 kilómetro(s),,,4,true,10 especies,
Pecho Amarillo (Pseudoleistes virescens),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:04 PM,11 minuto(s),0.215 kilómetro(s),,,4,true,10 especies,
