Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Perdiz (Nothura maculosa),1,"Departamento de Rocha, UY (-34.296, -53.857)",Con Desplazamiento,18-dic-2024,6:03,"3 hora(s), 23 minuto(s)",5.82 kilómetro(s),,,4,true,61 especies,
Chajá (Chauna torquata),3,"Departamento de Rocha, UY (-34.296, -53.857)",Con Desplazamiento,18-dic-2024,6:03,"3 hora(s), 23 minuto(s)",5.82 kilómetro(s),,,4,true,61 especies,
Pato Cara Blanca (Dendrocygna viduata),2,"Departamento de Rocha, UY (-34.296, -53.857)",Con Desplazamiento,18-dic-2024,6:03,"3 hora(s), 23 minuto(s)",5.82 kilómetro(s),,,4,true,61 especies,
Pato Brasilero (Amazonetta brasiliensis),2,"Departamento de Rocha, UY (-34.296, -53.857)",Con Desplazamiento,18-dic-2024,6:03,"3 hora(s), 23 minuto(s)",5.82 kilómetro(s),,,4,true,61 especies,
Pato Capuchino (Spatula versicolor),20,"Departamento de Rocha, UY (-34.296, -53.857)",Con Desplazamiento,18-dic-2024,6:03,"3 hora(s), 23 minuto(s)",5.82 kilómetro(s),,,4,true,61 especies,
Pato Barcino (Anas flavirostris),10,"Departamento de Rocha, UY (-34.296, -53.857)",Con Desplazamiento,18-dic-2024,6:03,"3 hora(s), 23 minuto(s)",5.82 kilómetro(s),,,4,true,61 especies,
Paloma de Monte (Patagioenas picazuro),6,"Departamento de Rocha, UY (-34.296, -53.857)",Con Desplazamiento,18-dic-2024,6:03,"3 hora(s), 23 minuto(s)",5.82 kilómetro(s),,,4,true,61 especies,
Torcaza (Zenaida auriculata),3,"Departamento de Rocha, UY (-34.296, -53.857)",Con Desplazamiento,18-dic-2024,6:03,"3 hora(s), 23 minuto(s)",5.82 kilómetro(s),,,4,true,61 especies,
Pirincho (Guira guira),6,"Departamento de Rocha, UY (-34.296, -53.857)",Con Desplazamiento,18-dic-2024,6:03,"3 hora(s), 23 minuto(s)",5.82 kilómetro(s),,,4,true,61 especies,
Carao (Aramus guarauna),4,"Departamento de Rocha, UY (-34.296, -53.857)",Con Desplazamiento,18-dic-2024,6:03,"3 hora(s), 23 minuto(s)",5.82 kilómetro(s),,,4,true,61 especies,
